School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
BAGGETT ELEMENTARY SCHOOL,GEORGIA,Baggett Elementary School,Gwinnett County,30044,1-Regular school,2-No,33.949107,-84.066289,Elementary,Prekindergarten,5th Grade,994,737,200,128,865,829,†,34,131,521,473,1,56,605,261,40,1,30,994,11.90
BAGLEY MIDDLE SCHOOL,Georgia,Bagley Middle School,Murray County,30705,1-Regular school,2-No,34.825185,-84.810183,Middle,7th Grade,8th Grade,466,303,127,62,365,466,†,†,†,262,204,0,0,117,2,342,0,5,466,13.99
BAINBRIDGE HIGH SCHOOL,Georgia,Bainbridge High School,Decatur County,39819,1-Regular school,2-No,30.886068,-84.481194,High,9th Grade,12th Grade,1218,781,410,0,781,†,1218,†,†,608,610,1,7,152,579,447,0,32,1218,14.18
BAINBRIDGE MIDDLE SCHOOL,Georgia,Bainbridge Middle School,Decatur County,39819,1-Regular school,2-No,30.898114,-84.556545,Middle,6th Grade,8th Grade,881,742,413,0,742,881,†,†,†,443,438,0,5,129,478,246,0,23,881,13.45
BAKER COUNTY K12 SCHOOL,Georgia,Baker County K12 School,Baker County,39870,1-Regular school,2-No,31.311646,-84.344302,Other,Prekindergarten,12th Grade,293,293,150,0,293,170,87,13,23,154,139,0,4,33,166,74,1,15,293,11.14
BAKER COUNTY LEARNING ACADEMY,GEORGIA,Baker County Learning Academy,Baker County,39870,1-Regular school,2-No,31.311646,-84.344302,Other,Kindergarten,12th Grade,3,‡,‡,‡,‡,0,3,†,0,3,0,0,0,0,1,2,0,0,3,3.00
BAKER ELEMENTARY SCHOOL,Georgia,Baker Elementary School,Cobb County,30101,1-Regular school,2-No,34.057700,-84.623400,Elementary,Prekindergarten,5th Grade,774,361,103,71,432,651,†,16,107,386,388,2,45,171,276,219,2,59,774,12.15
BAKER MIDDLE SCHOOL,Georgia,Baker Middle School,Muscogee County,31903,1-Regular school,2-No,32.428300,-84.944900,Middle,6th Grade,8th Grade,547,547,345,0,547,547,†,†,†,287,260,2,3,83,424,10,2,23,547,13.28
BAKER PLACE ELEMENTARY,Georgia,Baker Place Elementary,Columbia County,30813,1-Regular school,2-No,33.496024,-82.239838,Elementary,Prekindergarten,5th Grade,948,301,101,75,376,766,†,39,143,496,452,1,14,131,333,387,0,82,948,15.39
BALDWIN ELEMENTARY,GEORGIA,Baldwin Elementary,Gwinnett County,30071,1-Regular school,2-No,33.938851,-84.204352,Elementary,Prekindergarten,5th Grade,944,724,256,65,789,781,†,11,152,473,471,1,33,795,77,23,0,15,944,12.60
BALDWIN ELEMENTARY SCHOOL,Georgia,Baldwin Elementary School,Banks County,30511,1-Regular school,2-No,34.489145,-83.539946,Elementary,Prekindergarten,5th Grade,418,312,102,57,369,331,†,25,62,214,204,0,6,259,12,126,0,15,418,10.66
BALDWIN HIGH SCHOOL,Georgia,Baldwin High School,Baldwin County,31061,1-Regular school,2-No,33.072410,-83.258592,High,9th Grade,12th Grade,1294,908,487,0,908,†,1294,†,†,653,641,1,14,57,936,231,0,55,1294,16.48
BALL GROUND ELEMENTARY SCHOOL,Georgia,Ball Ground Elementary School,Cherokee County,30107,1-Regular school,2-No,34.332262,-84.384472,Elementary,Prekindergarten,5th Grade,613,205,144,43,248,487,†,35,91,327,286,1,2,58,7,512,0,33,613,13.15
BALLARD HUDSON MIDDLE SCHOOL,Georgia,Ballard Hudson Middle School,Bibb County,31204,1-Regular school,2-No,32.819000,-83.658000,Middle,6th Grade,8th Grade,644,562,430,0,562,644,†,†,†,337,307,0,1,36,588,12,0,7,644,13.70
BANKS COUNTY ELEMENTARY SCHOOL,Georgia,Banks County Elementary School,Banks County,30547,1-Regular school,2-No,34.330350,-83.508051,Elementary,3rd Grade,5th Grade,643,390,155,73,463,643,†,†,†,332,311,0,14,85,8,506,0,30,643,12.56
BANKS COUNTY HIGH SCHOOL,Georgia,Banks County High School,Banks County,30547,1-Regular school,2-No,34.308787,-83.498484,High,9th Grade,12th Grade,859,439,132,101,540,†,859,†,†,455,404,1,9,120,18,679,0,32,859,13.51
BANKS COUNTY MIDDLE SCHOOL,Georgia,Banks County Middle School,Banks County,30547,1-Regular school,2-No,34.312600,-83.478500,Middle,6th Grade,8th Grade,658,364,141,73,437,658,†,†,†,343,315,0,4,77,15,538,0,24,658,14.89
BANKS COUNTY PRIMARY SCHOOL,Georgia,Banks County Primary School,Banks County,30547,1-Regular school,2-No,34.330291,-83.510069,Elementary,Prekindergarten,2nd Grade,720,457,188,47,504,491,†,20,209,382,338,1,13,94,14,562,0,36,720,13.77
BANNEKER HIGH SCHOOL,Georgia,Banneker High School,Fulton County,30349,1-Regular school,2-No,33.590698,-84.519193,High,9th Grade,12th Grade,1786,1786,662,0,1786,†,1786,†,†,903,883,5,7,85,1645,13,1,30,1786,14.76
BARACK AND MICHELLE OBAMA ACADEMY,Georgia,Barack and Michelle Obama Academy,Fulton County,30315,1-Regular school,2-No,33.728200,-84.382700,Elementary,Prekindergarten,5th Grade,269,269,132,0,269,204,†,24,41,134,135,1,4,3,248,10,0,3,269,12.17
BARACK H. OBAMA ELEMENTARY MAGNET SCHOOL OF TECHNOLOGY,GEORGIA,Barack H. Obama Elementary Magnet School of Technology,DeKalb County,30316,1-Regular school,2-No,33.695793,-84.301874,Elementary,Prekindergarten,5th Grade,918,918,410,0,918,710,†,72,136,482,436,10,2,35,839,8,0,24,918,17.49
BARBER MIDDLE SCHOOL,Georgia,Barber Middle School,Cobb County,30101,1-Regular school,2-No,34.059637,-84.652144,Middle,6th Grade,8th Grade,832,429,134,116,545,832,†,†,†,419,413,1,33,195,326,215,0,62,832,16.00
BARKSDALE ELEMENTARY SCHOOL,Georgia,Barksdale Elementary School,Rockdale County,30094,1-Regular school,2-No,33.568700,-84.028200,Elementary,Prekindergarten,5th Grade,478,335,164,52,387,393,†,23,62,240,238,0,3,69,302,74,0,30,478,10.62
BARNETT SHOALS ELEMENTARY SCHOOL,Georgia,Barnett Shoals Elementary School,Clarke County,30605,1-Regular school,2-No,33.902318,-83.337986,Elementary,Prekindergarten,5th Grade,488,445,199,0,445,362,†,47,79,240,248,0,6,54,237,149,0,42,488,10.08
BARNWELL ELEMENTARY SCHOOL,Georgia,Barnwell Elementary School,Fulton County,30022,1-Regular school,2-No,34.010600,-84.250000,Elementary,Prekindergarten,5th Grade,693,103,27,20,123,559,†,46,88,342,351,0,119,97,102,327,0,48,693,13.78
BARROW ARTS AND SCIENCES ACADEMY,GEORGIA,Barrow Arts and Sciences Academy,Barrow County,30680,1-Regular school,2-No,33.944456,-83.657318,High,9th Grade,12th Grade,943,359,83,104,463,†,943,†,†,416,527,1,61,190,108,533,1,49,943,16.23
BARROW ELEMENTARY SCHOOL,Georgia,Barrow Elementary School,Clarke County,30605,1-Regular school,2-No,33.941500,-83.383000,Elementary,Prekindergarten,5th Grade,458,360,138,0,360,325,†,67,66,243,215,2,33,38,181,185,1,18,458,10.70
BARTON CHAPEL ELEMENTARY SCHOOL,Georgia,Barton Chapel Elementary School,Richmond County,30906,1-Regular school,2-No,33.441000,-82.087500,Elementary,Prekindergarten,5th Grade,406,406,255,0,406,304,†,44,58,217,189,0,0,33,354,7,1,11,406,12.01
BASCOMB ELEMENTARY SCHOOL,Georgia,Bascomb Elementary School,Cherokee County,30189,1-Regular school,2-No,34.130900,-84.577900,Elementary,Prekindergarten,5th Grade,967,133,97,36,169,818,†,18,131,476,491,2,15,109,46,723,0,72,967,14.76
BATTLEFIELD ELEMENTARY SCHOOL,Georgia,Battlefield Elementary School,Catoosa County,30742,1-Regular school,2-No,34.944700,-85.232800,Elementary,3rd Grade,5th Grade,421,194,87,33,227,421,†,†,†,200,221,0,23,36,18,326,0,18,421,12.87
BATTLEFIELD PRIMARY,Georgia,Battlefield Primary,Catoosa County,30742,1-Regular school,2-No,34.944900,-85.230000,Elementary,Prekindergarten,2nd Grade,468,250,96,41,291,266,†,65,137,239,229,1,27,32,30,349,0,29,468,13.57
BAY CREEK ELEMENTARY SCHOOL,Georgia,Bay Creek Elementary School,Walton County,30052,1-Regular school,2-No,33.836400,-83.888100,Elementary,Prekindergarten,5th Grade,755,469,189,87,556,597,†,58,100,379,376,4,33,170,350,144,2,52,755,15.22
BAY CREEK MIDDLE SCHOOL,Georgia,Bay Creek Middle School,Gwinnett County,30017,1-Regular school,2-No,33.872700,-83.960600,Middle,6th Grade,8th Grade,1391,742,254,134,876,1391,†,†,†,711,680,3,90,207,850,170,0,71,1391,17.05
BAY SPRINGS MIDDLE SCHOOL,Georgia,Bay Springs Middle School,Carroll County,30180,1-Regular school,2-No,33.692200,-84.938500,Middle,6th Grade,8th Grade,896,498,217,103,601,896,†,†,†,436,460,3,8,111,261,443,0,70,896,14.66
BAYVALE ELEMENTARY SCHOOL,Georgia,Bayvale Elementary School,Richmond County,30909,1-Regular school,2-No,33.448988,-82.053072,Elementary,Prekindergarten,5th Grade,380,357,171,0,357,268,†,48,64,206,174,0,0,103,246,22,0,9,380,12.03
BAZOLINE E. USHER/COLLIER HEIGHTS ELEMENTARY SCHOOL,Georgia,Bazoline E. Usher/Collier Heights Elementary School,Fulton County,30318,1-Regular school,2-No,33.772500,-84.494000,Elementary,Prekindergarten,5th Grade,405,405,186,0,405,325,†,23,57,218,187,2,1,12,383,3,0,4,405,10.18
BEACH HIGH SCHOOL,Georgia,Beach High School,Chatham County,31405,1-Regular school,2-No,32.054400,-81.116700,High,9th Grade,12th Grade,904,698,386,53,751,†,904,†,†,415,489,3,3,87,751,36,2,22,904,14.68
BEACON HILL MIDDLE SCHOOL,Georgia,Beacon Hill Middle School,DeKalb County,30030,1-Regular school,2-No,33.768100,-84.299000,Middle,6th Grade,8th Grade,1322,213,184,6,219,1322,†,†,†,676,646,1,60,60,240,841,0,120,1322,12.91
BEAR CREEK MIDDLE SCHOOL,Georgia,Bear Creek Middle School,Fulton County,30213,1-Regular school,2-No,33.556300,-84.625800,Middle,6th Grade,8th Grade,964,964,362,0,964,964,†,†,†,464,500,1,2,109,817,9,0,26,964,15.99
BEAR CREEK MIDDLE SCHOOL,Georgia,Bear Creek Middle School,Barrow County,30666,1-Regular school,2-No,33.969131,-83.588162,Middle,6th Grade,8th Grade,742,394,110,83,477,742,†,†,†,358,384,1,25,195,106,368,0,47,742,13.42
BEAVER RIDGE ELEMENTARY SCHOOL,Georgia,Beaver Ridge Elementary School,Gwinnett County,30071,1-Regular school,2-No,33.934600,-84.173200,Elementary,Prekindergarten,5th Grade,981,771,321,65,836,759,†,42,180,513,468,1,40,709,189,21,0,21,981,13.08
BEAVERBROOK ELEMENTARY SCHOOL,Georgia,Beaverbrook Elementary School,Spalding County,30223,1-Regular school,2-No,33.321300,-84.295500,Elementary,Prekindergarten,5th Grade,295,274,141,0,274,225,†,24,46,147,148,2,3,64,71,142,0,13,295,11.90
BEAVERDALE ELEMENTARY SCHOOL,Georgia,Beaverdale Elementary School,Whitfield County,30721,1-Regular school,2-No,34.906200,-84.863600,Elementary,Prekindergarten,5th Grade,503,366,124,56,422,343,†,91,69,290,213,1,5,100,8,367,0,22,503,12.73
BEECHER HILLS ELEMENTARY SCHOOL,Georgia,Beecher Hills Elementary School,Fulton County,30311,1-Regular school,2-No,33.735900,-84.463500,Elementary,Prekindergarten,5th Grade,252,201,78,0,201,197,†,21,34,130,122,0,0,8,238,2,0,4,252,9.73
BELAIR K-8 SCHOOL,GEORGIA,Belair K-8 School,Richmond County,30909,1-Regular school,2-No,33.448596,-82.121954,Elementary,Prekindergarten,8th Grade,1061,557,283,0,557,926,†,46,89,514,547,4,4,117,769,89,5,73,1061,13.46
BELLS FERRY ELEMENTARY SCHOOL,Georgia,Bells Ferry Elementary School,Cobb County,30066,1-Regular school,2-No,34.015600,-84.547400,Elementary,Prekindergarten,5th Grade,762,400,145,79,479,632,†,14,116,375,387,0,95,173,273,160,2,59,762,15.21
BELMONT HILLS ELEMENTARY SCHOOL,Georgia,Belmont Hills Elementary School,Cobb County,30080,1-Regular school,2-No,33.892000,-84.536100,Elementary,Prekindergarten,5th Grade,276,232,74,23,255,227,†,3,46,144,132,0,3,198,59,11,0,5,276,7.86
BELWOOD ELEMENTARY SCHOOL,Georgia,Belwood Elementary School,Gordon County,30701,1-Regular school,2-No,34.457200,-84.915500,Elementary,Prekindergarten,5th Grade,507,358,95,59,417,348,†,83,76,276,231,1,2,143,14,330,0,17,507,12.68
BEN HILL COUNTY MIDDLE SCHOOL,Georgia,Ben Hill County Middle School,Ben Hill County,31750,1-Regular school,2-No,31.760800,-83.259300,Middle,6th Grade,8th Grade,618,454,245,0,454,618,†,†,†,329,289,0,3,72,266,260,0,17,618,12.19
BEN HILL COUNTY PRIMARY SCHOOL,Georgia,Ben Hill County Primary School,Ben Hill County,31750,1-Regular school,2-No,31.765598,-83.256208,Elementary,Prekindergarten,2nd Grade,872,759,333,0,759,415,†,252,205,424,448,0,0,102,388,338,0,44,872,17.55
BEN HILL ELEMENTARY SCHOOL,Georgia,Ben Hill Elementary School,Ben Hill County,31750,1-Regular school,2-No,31.742288,-83.257934,Elementary,3rd Grade,5th Grade,565,455,262,0,455,565,†,†,†,278,287,0,0,54,243,246,0,22,565,12.26
BENEFIELD ELEMENTARY SCHOOL,Georgia,Benefield Elementary School,Gwinnett County,30046,1-Regular school,2-No,33.954593,-84.029859,Elementary,Prekindergarten,5th Grade,1248,906,289,121,1027,993,†,69,186,616,632,4,84,714,329,80,1,36,1248,14.68
BENJAMIN E. MAYS HIGH SCHOOL,Georgia,Benjamin E. Mays High School,Fulton County,30331,1-Regular school,2-No,33.733900,-84.503800,High,9th Grade,12th Grade,1363,1126,474,0,1126,†,1363,†,†,675,688,2,0,93,1255,1,0,12,1363,12.17
BENNETT'S MILL MIDDLE SCHOOL,Georgia,Bennett's Mill Middle School,Fayette County,30215,1-Regular school,2-No,33.443000,-84.511000,Middle,6th Grade,8th Grade,877,465,166,97,562,877,†,†,†,433,444,0,42,155,486,124,1,69,877,12.71
BENTEEN ELEMENTARY SCHOOL,Georgia,Benteen Elementary School,Fulton County,30315,1-Regular school,2-No,33.716430,-84.364398,Elementary,Prekindergarten,5th Grade,306,259,68,0,259,234,†,37,35,164,142,2,0,90,140,50,1,23,306,9.27
BERKELEY LAKE ELEMENTARY SCHOOL,Georgia,Berkeley Lake Elementary School,Gwinnett County,30096,1-Regular school,2-No,33.977706,-84.186256,Elementary,Prekindergarten,5th Grade,808,393,117,43,436,664,†,38,106,424,384,1,88,347,141,182,2,47,808,12.43
BERKMAR HIGH SCHOOL,Georgia,Berkmar High School,Gwinnett County,30047,1-Regular school,2-No,33.907000,-84.114100,High,9th Grade,12th Grade,3089,2206,605,305,2511,†,3089,†,†,1614,1475,4,205,2233,552,64,1,30,3089,15.53
BERKMAR MIDDLE SCHOOL,Georgia,Berkmar Middle School,Gwinnett County,30047,1-Regular school,2-No,33.903800,-84.128500,Middle,6th Grade,8th Grade,1065,893,266,82,975,1065,†,†,†,570,495,0,77,781,157,32,1,17,1065,13.15
BERND ELEMENTARY SCHOOL,Georgia,Bernd Elementary School,Bibb County,31217,1-Regular school,2-No,32.814200,-83.567700,Elementary,Prekindergarten,5th Grade,408,310,273,0,310,321,†,29,58,196,212,2,0,11,354,23,0,18,408,13.83
BERRIEN ACADEMY PERFORMANCE LEARNING CENTER,Georgia,Berrien Academy Performance Learning Center,Berrien County,31639,1-Regular school,1-Yes,31.192700,-83.264500,High,9th Grade,12th Grade,69,43,16,6,49,†,69,†,†,36,33,0,1,2,2,61,0,3,69,49.29
BERRIEN ELEMENTARY SCHOOL,Georgia,Berrien Elementary School,Berrien County,31639,1-Regular school,2-No,31.212315,-83.264030,Elementary,3rd Grade,5th Grade,667,466,262,0,466,667,†,†,†,341,326,0,4,68,76,481,0,38,667,15.62
BERRIEN HIGH SCHOOL,Georgia,Berrien High School,Berrien County,31639,1-Regular school,2-No,31.218600,-83.244600,High,9th Grade,12th Grade,856,452,210,61,513,†,856,†,†,462,394,2,8,98,109,610,0,29,856,15.02
BERRIEN MIDDLE SCHOOL,Georgia,Berrien Middle School,Berrien County,31639,1-Regular school,2-No,31.211800,-83.262000,Middle,6th Grade,8th Grade,691,415,227,0,415,691,†,†,†,337,354,1,5,60,87,490,0,48,691,13.82
BERRIEN PRIMARY SCHOOL,Georgia,Berrien Primary School,Berrien County,31639,1-Regular school,2-No,31.234601,-83.244450,Elementary,Prekindergarten,2nd Grade,815,554,308,0,554,463,†,131,221,413,402,1,7,89,80,565,0,73,815,14.87
BERTA WEATHERSBEE ELEMENTARY SCHOOL,Georgia,Berta Weathersbee Elementary School,Troup County,30240,1-Regular school,2-No,33.021500,-85.045700,Elementary,Prekindergarten,5th Grade,268,268,186,0,268,208,†,23,37,146,122,2,0,7,240,16,0,3,268,11.21
BESSIE L. BAGGETT ELEMENTARY,Georgia,Bessie L. Baggett Elementary,Paulding County,30127,1-Regular school,2-No,33.836600,-84.756200,Elementary,Prekindergarten,5th Grade,576,355,157,53,408,487,†,5,84,291,285,0,5,117,225,192,0,37,576,12.49
BETHESDA ELEMENTARY SCHOOL,Georgia,Bethesda Elementary School,Gwinnett County,30044,1-Regular school,2-No,33.925400,-84.086000,Elementary,Prekindergarten,5th Grade,1105,806,271,127,933,928,†,10,167,549,556,3,99,718,203,48,1,33,1105,12.80
BETHLEHEM ELEMENTARY SCHOOL,Georgia,Bethlehem Elementary School,Barrow County,30620,1-Regular school,2-No,33.922500,-83.719200,Elementary,Prekindergarten,5th Grade,660,379,93,70,449,504,†,59,97,340,320,1,30,170,93,337,0,29,660,12.09
BETHLEHEM ELEMENTARY SCHOOL,Georgia,Bethlehem Elementary School,Henry County,30248,1-Regular school,2-No,33.382918,-84.144976,Elementary,Prekindergarten,5th Grade,472,306,142,26,332,405,†,6,61,247,225,1,15,46,352,29,0,29,472,14.01
BETHUNE ELEMENTARY SCHOOL,Georgia,Bethune Elementary School,Fulton County,30349,1-Regular school,2-No,33.593100,-84.481600,Elementary,Prekindergarten,5th Grade,518,518,251,0,518,412,†,43,63,250,268,1,2,45,444,5,0,21,518,13.74
BETHUNE MIDDLE SCHOOL,Georgia,Bethune Middle School,Charlton County,31537,1-Regular school,2-No,30.815600,-82.011500,Middle,5th Grade,8th Grade,476,283,144,81,364,476,†,†,†,249,227,1,2,9,133,295,0,36,476,14.42
BETTY GRAY MIDDLE SCHOOL,Georgia,Betty Gray Middle School,Cobb County,30126,1-Regular school,2-No,33.818408,-84.509751,Middle,6th Grade,8th Grade,686,525,231,70,595,686,†,†,†,353,333,1,4,307,329,29,1,15,686,14.56
BETTYE HENDERSON HOLSTON ELEMENTARY SCHOOL,Georgia,Bettye Henderson Holston Elementary School,Clarke County,30606,1-Regular school,2-No,33.944000,-83.407600,Elementary,Prekindergarten,5th Grade,324,324,191,0,324,226,†,50,48,169,155,1,4,29,254,17,0,19,324,8.62
BEULAH ELEMENTARY SCHOOL,Georgia,Beulah Elementary School,Douglas County,30134,1-Regular school,2-No,33.774500,-84.703700,Elementary,Prekindergarten,5th Grade,453,343,152,33,376,383,†,0,70,240,213,4,5,199,151,67,4,23,453,13.13
BIG A ELEMENTARY SCHOOL,Georgia,Big A Elementary School,Stephens County,30538,1-Regular school,2-No,34.547328,-83.291831,Elementary,Prekindergarten,Kindergarten,450,347,132,0,347,†,†,148,302,225,225,0,1,17,61,326,0,45,450,14.06
BIG CREEK ELEMENTARY SCHOOL,Georgia,Big Creek Elementary School,Forsyth County,30041,1-Regular school,2-No,34.112900,-84.177700,Elementary,Prekindergarten,5th Grade,661,76,14,13,89,557,†,13,91,333,328,0,362,39,45,184,0,31,661,14.06
BIG SHANTY ELEMENTARY SCHOOL,Georgia,Big Shanty Elementary School,Cobb County,30144,1-Regular school,2-No,34.027500,-84.596700,Elementary,3rd Grade,5th Grade,545,235,62,56,291,545,†,0,†,277,268,0,15,124,178,180,0,48,545,12.08
BILL ARP ELEMENTARY SCHOOL,Georgia,Bill Arp Elementary School,Douglas County,30135,1-Regular school,2-No,33.683300,-84.793500,Elementary,Prekindergarten,5th Grade,622,467,246,46,513,531,†,0,91,329,293,1,4,159,263,152,0,43,622,14.30
BIRMINGHAM FALLS ELEMENTARY SCHOOL,Georgia,Birmingham Falls Elementary School,Fulton County,30004,1-Regular school,2-No,34.144806,-84.340906,Elementary,Prekindergarten,5th Grade,746,22,3,3,25,651,†,4,91,398,348,1,35,46,26,603,0,35,746,15.26
BIRNEY ELEMENTARY SCHOOL,Georgia,Birney Elementary School,Cobb County,30060,1-Regular school,2-No,33.879800,-84.575900,Elementary,Prekindergarten,5th Grade,686,547,212,61,608,576,†,14,96,342,344,3,18,348,262,26,0,29,686,10.70
BISHOP HALL CHARTER SCHOOL,Georgia,Bishop Hall Charter School,Thomas County,31792,4-Alternative Education School,1-Yes,30.860550,-83.952626,High,8th Grade,12th Grade,197,126,55,0,126,15,182,†,†,90,107,0,0,3,64,120,0,10,197,15.27
BLACK'S MILL ELEMENTARY SCHOOL,Georgia,Black's Mill Elementary School,Dawson County,30534,1-Regular school,2-No,34.352700,-84.082600,Elementary,Prekindergarten,5th Grade,485,229,73,35,264,405,†,0,80,266,219,0,47,74,22,318,0,24,485,14.26
BLACKBURN ELEMENTARY SCHOOL,Georgia,Blackburn Elementary School,Lumpkin County,30534,1-Regular school,2-No,34.454600,-84.024100,Elementary,Prekindergarten,5th Grade,775,405,140,80,485,627,†,10,138,389,386,2,3,82,8,651,0,29,775,13.84
BLACKMON ROAD MIDDLE SCHOOL,Georgia,Blackmon Road Middle School,Muscogee County,31909,1-Regular school,2-No,32.548400,-84.896200,Middle,6th Grade,8th Grade,534,263,119,75,338,534,†,†,†,262,272,0,44,67,225,159,2,37,534,11.95
BLACKSHEAR ELEMENTARY SCHOOL,Georgia,Blackshear Elementary School,Pierce County,31516,1-Regular school,2-No,31.318650,-82.244291,Elementary,Prekindergarten,5th Grade,845,692,356,0,692,624,†,78,143,460,385,4,4,93,136,562,0,46,845,14.04
